KEGG_ko,Core_count,Variable_count,Core_norm,Variable_norm,KO_Difference,Z_score,p_value,BH_corrected_p_value,Bonferroni_corrected_p_value,Significant_BH,Significant_Bonferroni,Description,Preferred_name,PFAMs,Group,
ko:K02057,0,35,-0.18401784,0.704823868,-0.888841709,-4.933130704,8.09E-07,0.000892569,0.000892569,TRUE,TRUE,Belongs to the binding-protein-dependent transport system permease family,-,BPD_transp_2,Atribacteria,
ko:K10441,0,17,-0.18401784,0.303746967,-0.487764808,-2.70712718,0.006786825,0.74858682,1,FALSE,FALSE,ABC transporter,rbsA,ABC_tran,Atribacteria,
ko:K02056,5,27,0.041006193,0.526567468,-0.485561275,-2.694897427,0.00704103,0.706023305,1,FALSE,FALSE,Part of the ABC transporter complex RbsABC involved in ribose import. Responsible for energy coupling to the transport system,-,ABC_tran,Atribacteria,
ko:K02032,0,16,-0.18401784,0.281464917,-0.465482758,-2.583460318,0.009781472,0.899080289,1,FALSE,FALSE,Belongs to the ABC transporter superfamily,-,"ABC_tran,oligo_HPY",Atribacteria,
ko:K02031,0,16,-0.18401784,0.281464917,-0.465482758,-2.583460318,0.009781472,0.829920267,1,FALSE,FALSE,Belongs to the ABC transporter superfamily,appD,"ABC_tran,oligo_HPY",Atribacteria,
ko:K00179,0,16,-0.18401784,0.281464917,-0.465482758,-2.583460318,0.009781472,0.770640248,1,FALSE,FALSE,Catalyzes the ferredoxin-dependent oxidative decarboxylation of arylpyruvates,iorA-2,"Fer4,POR_N,TPP_enzyme_C",Atribacteria,
ko:K00008,0,15,-0.18401784,0.259182867,-0.443200708,-2.459793456,0.013901699,0.958348407,1,FALSE,FALSE,Alcohol dehydrogenase GroES-like domain,-,"ADH_N,ADH_zinc_N",Atribacteria,
ko:K03892,0,13,-0.18401784,0.214618767,-0.398636607,-2.212459731,0.026934916,1,1,FALSE,FALSE,"PFAM regulatory protein, ArsR",-,HTH_5,Atribacteria,
ko:K02529,0,13,-0.18401784,0.214618767,-0.398636607,-2.212459731,0.026934916,1,1,FALSE,FALSE,"PFAM Bacterial regulatory proteins, lacI family",-,"LacI,Peripla_BP_1",Atribacteria,
ko:K02058,0,13,-0.18401784,0.214618767,-0.398636607,-2.212459731,0.026934916,1,1,FALSE,FALSE,Periplasmic binding protein domain,-,Peripla_BP_4,Atribacteria,
ko:K07491,0,12,-0.18401784,0.192336717,-0.376354557,-2.088792868,0.036726373,1,1,FALSE,FALSE,COG1943 Transposase and inactivated derivatives,-,Y1_Tnp,Atribacteria,
ko:K03655,0,11,-0.18401784,0.170054667,-0.354072507,-1.965126006,0.049399655,1,1,FALSE,FALSE,Transcriptional regulator,-,"AlbA_2,HATPase_c_4",Atribacteria,
ko:K01818,0,11,-0.18401784,0.170054667,-0.354072507,-1.965126006,0.049399655,1,1,FALSE,FALSE,Converts the aldose L-fucose into the corresponding ketose L-fuculose,fucI,"Fucose_iso_C,Fucose_iso_N1,Fucose_iso_N2",Atribacteria,
ko:K08591,0,11,-0.18401784,0.170054667,-0.354072507,-1.965126006,0.049399655,1,1,FALSE,FALSE,"Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP",plsY,G3P_acyltransf,Atribacteria,
